DATE,ACTUAL,NAIVE,ARIMA,ETS,LASSO,Ridge,MLP,RNN,LSTM
2017-01-31,20.46,17.87909091,17.87909091,17.879106663842098,19.46360600295198,18.635311671854883,19.809304809570314,19.13248405456543,18.281857872009276
2017-02-28,20.023,20.46,20.46,20.459741057229603,20.899314480731373,20.075883772412844,22.01030158996582,20.655207061767577,20.451601219177245
2017-03-31,16.34434783,20.023,20.023,20.02304474079158,17.718725839185517,18.43287652802523,18.00190124511719,15.846835708618164,17.083317375183107
2017-04-30,16.4975,16.34434783,16.34434783,16.34471890454008,16.69506873408798,17.364529186273735,16.947287940979002,16.933632469177248,15.2696683883667
2017-05-31,16.04782609,16.4975,16.4975,16.497484671170564,17.105976253366514,16.497373754214735,16.56228542327881,14.408654975891114,15.758913612365722
2017-06-30,15.46818182,16.04782609,16.04782609,16.047871204547473,16.540060867929153,15.768626832230368,16.436492919921875,16.000351905822754,15.099878311157227
2017-07-31,15.26428571,15.46818182,15.46818182,15.468239980625315,16.151726249803076,15.269333655932776,16.308002471923828,14.65626335144043,14.96565284729004
2017-08-31,16.07217391,15.26428571,15.26428571,15.264306108069361,16.047952408174197,14.829494548975108,16.2729133605957,14.999573135375977,15.051301574707031
2017-09-30,17.30666667,16.07217391,16.07217391,16.07209285608731,17.10916680453798,15.716887497284958,17.15244541168213,15.918769264221192,16.195643806457518
2017-10-31,17.38409091,17.30666667,17.30666667,17.306542957848045,17.770180295499834,16.28825448638487,17.418032836914062,16.937513732910155,16.749147796630858
2017-11-30,19.66545455,17.38409091,17.38409091,17.38408296984409,18.44301577139137,17.452786041670418,18.12354431152344,17.363604927062987,17.31216526031494
2017-12-31,20.67333333,19.66545455,19.66545455,19.665220967852008,20.368321819913827,19.165608270451795,20.497524070739747,20.156438636779786,19.77465934753418
2018-01-31,18.49695652,20.67333333,20.67333333,20.67323194387868,19.56498682694615,18.71383950903662,19.270183563232422,18.5198091506958,19.192681503295898
2018-02-28,21.396,18.49695652,18.49695652,18.497179341510016,18.436937562904937,17.864755904082198,18.16456241607666,17.70658893585205,17.396458435058594
2018-03-31,23.80045455,21.396,21.396,21.395710078881862,19.72080431807548,19.02439839077458,19.095001792907716,19.62411766052246,20.148821067810058
2018-04-30,19.63904762,23.80045455,23.80045455,23.80020833540227,18.91241203597377,19.56191493534206,17.98222122192383,18.854010391235352,19.42220458984375
2018-05-31,21.68,19.63904762,19.63904762,19.639469004738512,20.58042281161251,19.99494502109384,20.66471576690674,23.336024475097656,19.732132339477538
2018-06-30,21.91,21.68,21.774767791405054,21.625981043223284,22.057561442604893,21.662313713091933,22.08016414642334,20.015689849853516,21.698993682861328
2018-07-31,22.265,21.91,21.943458935015478,21.902715056907986,21.78284323712385,21.019494482619805,22.096585845947267,21.483038711547852,21.578076171875
2018-08-31,23.80409091,22.265,22.13199592449942,22.25590728438652,21.868010605107898,21.147364537925544,22.27701530456543,20.764775276184082,22.03058853149414
2018-09-30,27.8455,23.80409091,23.80409091,23.76915665260664,24.91492126003621,24.040327707420385,24.398438262939454,26.811480712890624,24.531677627563475
2018-10-31,25.87913043,27.8455,27.8455,27.845071544050068,26.087897657073885,25.7841897379304,26.092873954772948,26.144161224365234,26.02298774719238
2018-11-30,24.86272727,25.87913043,25.87913043,25.931553820847487,23.62863840391732,23.56448790604279,24.967578125,24.7121826171875,24.662865829467773
2018-12-31,24.081,24.86272727,24.57767500494915,24.88462783448017,24.078419020769683,23.595522834809863,25.207899284362792,24.179755783081056,24.938191413879395
2019-01-31,22.05521739,24.081,23.842352684196626,24.09493392222843,22.050745853871113,21.229110373473265,21.969038581848146,21.652097320556642,22.74280490875244
2019-02-28,18.6565,22.05521739,21.93858411041437,22.076347287829524,20.854466102388464,20.49333459301774,20.55114002227783,20.213122367858887,20.678553962707518
2019-03-31,16.43190476,18.6565,18.75889827168764,18.65684352513438,19.276636221494883,18.8271796998837,18.27185764312744,17.2107795715332,17.714653396606444
2019-04-30,15.80238095,16.43190476,17.31075913600041,16.432132564635943,16.649542119698538,16.315567013360106,15.894706058502198,13.97202787399292,14.927936172485351
2019-05-31,14.01727273,15.80238095,16.069585316600694,15.80244402222651,16.688565951144096,15.33129354202249,15.563660144805908,15.647346591949463,14.75511646270752
2019-06-30,10.812000000000001,14.01727273,13.979033235269164,14.017453461720033,13.537942799431677,12.936653984118728,13.7223876953125,12.018563556671143,12.868960952758789
2019-07-31,11.21913043,10.812000000000001,10.752192044406181,10.812321465814517,12.495138954355024,12.023868836168827,13.032473087310791,12.823823833465577,12.066133403778077
2019-08-31,10.29904762,11.21913043,10.960503594324184,11.219089558655043,12.985799678905185,12.453077833201014,13.229166412353516,12.495414543151856,12.430747699737548
2019-09-30,9.765238095,10.29904762,9.604150259439608,10.299142713231246,12.785931963604522,12.678306951917227,13.184465217590333,12.809056091308594,12.246088409423828
2019-10-31,10.40347826,9.765238095,10.099251027246037,9.76529173521996,13.7050665087794,13.807699826514417,13.713557815551757,13.346895217895508,12.443474674224854
2019-11-30,15.125238099999999,10.40347826,10.578383379253275,10.403412298713912,15.467681636402167,14.616425466788893,14.942499542236328,13.690445041656494,13.368810558319092
2019-12-31,13.43,15.125238099999999,15.271162102181243,15.124765397821369,17.243602871605777,15.814477101594205,16.051218032836914,15.305850410461426,15.431705665588378
